title,label,Domain,,,
Centre block and east block at Parliament Hill are locked down,0,Crime,,,
Snipers set up on National Art Gallery as we remain barricaded in Centre Block on Parliament Hill,0,Crime,,,
We are hearing a shooter is still on the loose here in DT Ottawa with a rifle please pray for our police and soldiers,0,Crime,,,
"Police claim multiple suspects at large, ask people to avoid Paraliment area",0,Crime,,,
We are in full lock down until further notice from Ottawa Police,0,Crime,,,
Canada's parliament building in Ottawa is on lockdown after reports of an active shooter,0,Crime,,,
MP Gerry Byrne inside building on lockdown. Says this is tactical team,0,Crime,,,
My thoughts and prayers are with injured soldier. And such deep thanks to the security and RCMP on the Hill,0,Crime,,,
We r being told it's still not safe outside downtown. Shooter on the loose. University of Ottawa shut down,0,Crime,,,
"Ottawa Police say they are dealing with multiple suspects, can't confirm whether all have guns but are confirming multiple suspects",0,Crime,,,
"LOCKDOWN , Parliament, library main branch, U of O, downtown schools, Ottawa police HQ, CBC HQ, Rideau Centre, courthouse.",0,Crime,,,
Footage from Globe reporter captures exchange of gun fire in Parliament Hill building,0,Crime,,,
"The University of Ottawa, just a five minute walk from the Hill, is now on lockdown",0,Crime,,,
OTTAWA! Sending postive vibes. Stay away from rooftops and windows in downtown. Shooter still in Parliament Hill,0,Crime,,,
Ottawa Police say they are dealing with multiple suspects. Cannot confirm whether all have guns. Ottawa still pretty much locked down,0,Crime,,,
"University of Ottawa is in lockdown, classes are cancelled",0,Crime,,,
All Ottawa police stations are closed. University of Ottawa in lockdown. Campus closed,0,Crime,,,
Credible sources tell SunNewsNetwork there may be as many as five active shooters in Ottawa,0,Crime,,,
"Shooter is dead, according to sources on Parliament Hill",0,Crime,,,
all bridges from Ottawa Gatineau are NOW CLOSED! Active search still underway (11:37est),0,Crime,,,
Police working under assumption more than one shooter,0,Crime,,,
Ottawa police confirm at least 3 separate shooting sites and multiple suspects,0,Crime,,,
Ottawa Police report a third shooting incident at the Rideau Centre. No word on injuries,0,Crime,,,
"Police in pursuit of multiple shooters in Ottawa, PM safe, downtown buildings in lockdown",0,Crime,,,
Gunman on the loose in downtown Ottawa. Canadian citizens disarmed by their government. Target rich environment,0,Crime,,,
"NORAD increases number of planes on higher alert status ready to respond if necessary, official says",0,Crime,,,
"In response to Ottawa incidents, NORAD increased number of planes on higher alert status ready to respond if needed",0,Crime,,,
"Kevin Vickers, head of security in parliament, 29 yr vet of RCMP. Being credited for taking down shooter",0,Crime,,,
"Hero. affanchowdhry: Kevin Vickers, head of security in parliament, being credited for taking down shooter",0,Crime,,,
"Ottawa Hospital has received 3 patients, 2 of whom are in stable condition. Won't give update on soldier, deferring to DND",0,Crime,,,
"A spokesperson for The Ottawa Hospital confirms that it has received three patients, two of which are in stable condition.",0,Crime,,,
"As an American Veteran, my prayers are the Canadian soldier who died in today's shooting standing duty at a war memorial",0,Crime,,,
Statement from Ottawa Hospital: received 3 patients. 2 in stable condition,0,Crime,,,
the most terrible news of the day so far: soldier has died of his injuries,0,Crime,,,
The NHL has decided to postpone tonight's sensleafs game in Ottawa,0,Crime,,,
The game between the Toronto Maple Leafs and Ottawa Senators scheduled for tonight in Ottawa has been postponed,0,Crime,,,
"NHL postpones tonight's Senators-Leafs game in Ottawa""",0,Crime,,,
The NHL announces tonight's game between the Leafs and Sens in Ottawa has been postponed,0,Crime,,,
NHL says date of rescheduled game TBD. NHL wishes to express its sympathy and prayers to all affected by the tragic events in Ottawa,0,Crime,,,
Ottawa police and RCMP will be announcing a joint press conference time shortly,0,Crime,,,
Just evacuated from roof of Parliament Hill Centre Block ,0,Crime,,,
Our thoughts are with Ottawa this morning. Stay safe.,0,Crime,,,
MORE: A spokesman says Prime Minister Stephen Harper was safe and had left Parliament Hill,0,Crime,,,
"Yesterday, practice became a 1-on-1 game vs. his dog",0,Crime,,,
The RCMP intervention team members Parliament Hill ,0,Crime,,,
"Leafs Joffrey Lupul praises officers in Ottawa, as team remains in lock down ",0,Crime,,,
"Ottawa Mayor Jim Watson says ,it is a sad and tragic day for our city and our country.",0,Crime,,,
Prayers to Ottawa.,0,Crime,,,
Ottawa in April 2013 you stood with us and called us BostonStrong TODAY we stand with you,0,Crime,,,
Our thoughts are with everyone in Ottawa at this time.,0,Crime,,,
Chief of Defence Staff MT Joerayment: Surreal photos out of Ottawa: VIP escorted on Sparks St ,0,Crime,,,
Our thoughts are with everyone in the city of Ottawa today.,0,Crime,,,
WaPo reports that black eyewitnesses who confirmed the Ferguson cop's story are afraid for their safety,0,Crime,,,
Ottawa Canada identifies the gunman who is probably Muslim but that will not be mentioned.,0,Crime,,,
Please DO NOT tweet photos or locations of police in ottawa at the Parliament Buildings! ,0,Crime,,,
Stay safe Ottawa...world is getting worse by the minute...like seriously society needs to figure it out ,0,Crime,,,
Hello_hello,0,Crime,,,
Image from kellyhobson shows police running to search buildings in downtown Ottawa. ,0,Crime,,,
Moment of silence for Ottawa. ,0,Crime,,,
Latest photos from Ottawa's Parliament Hill ,0,Crime,,,
"Events like today's in Ottawa are rare, but have an impact on all of us. Here are tips to help you support children",0,Crime,,,
Our thoughts and prayers are with everyone in Ottawa this morning.,0,Crime,,,
"Harden, Howard again named best at position in 2014-15 NBA GM Survey. ",0,Crime,,,
Sending love to the people of Ottawa. Be safe everyone. ,0,Crime,,,
"This is our Home True North Strong, Free - thoughts and prayers to the people of Ottawa, all of Canada ",0,Crime,,,
"Prayers for those in Ottawa, hope all is resolved soon...",0,Crime,,,
Our thoughts are with everyone in Ottawa today. Stay safe.,0,Crime,,,
Leafs are currently in lockdown mode in a hotel in downtown Ottawa.,0,Crime,,,
Stay safe Ottawa.,0,Crime,,,
Sending thoughts and prayers to everybody in Ottawa. ,0,Crime,,,
"Everyone in Ottawa, please stay safe. ",0,Crime,,,
"Anyone in downtown Ottawa reminded to stay inside, away from roofs, windows and doors. Please stay safe out there. ",0,Crime,,,
All bus service in downtown Ottawa is currently under major detours.,0,Crime,,,
"You may want to stop and take a deep breath before tweeting insults at parliamentarians and reporters in ottawa today, OK?",0,Crime,,,
"Atlantic cadet programs cancelled, other cadets advised to not wear uniform but show up in business casual",0,Crime,,,
"American media: stop calling  ""Canada's 911"" We don't know who or why yet. Canadians prefer to spread facts",0,Crime,,,
"From Ottawa police, a map of the downtown Ottawa safety perimeter.",0,Crime,,,
"What an awful day in Ottawa. Thoughts and prayers are with our Senators family, the entire city of Ottawa and all of Canada.",0,Crime,,,
Thoughts and prayers to everyone in my hometown today. Ottawa,0,Crime,,,
I've left the Hill. Want to say I'm really impressed by way Ottawa Police and RCMP handled this miserable business.,0,Crime,,,
Everyone stand together on a day like this. Stay strong. ,0,Crime,,,
A nice touch from Penguins who host Flyers tonight: Canadian National anthem will be performed pre-game in support of events in Ottawa.,0,Crime,,,
If you are working in the Ottawa dowtown area; follow the instructions from the building management you are in. ,0,Crime,,,
It’s important for all Canadians to be vigilant and report anything they think is suspicious to their local police. ,0,Crime,,,
Our thoughts are with Ottawa.,0,Crime,,,
We are continually assessing/monitoring situation to ensure we can do our jobs in keeping Canadians safe.,0,Crime,,,
MORE: Royal Canadian Mounted Police warned people in downtown Ottawa to stay away from windows and rooftops:,0,Crime,,,
"Our thoughts are with everyone involved in what is happening on Parliament Hill and Confederation Square this morning. Stay safe, Ottawa.",0,Crime,,,
My thoughts and prayers are with the city of Ottawa.,0,Crime,,,
Joerayment: Dramatic photos from wcuddington on the scene in Ottawa ,0,Crime,,,
Terrible news out of Ottawa… my thoughts are with you,0,Crime,,,
Ok CNNBreakingNews stop calling it Royal Canadian MOUNTAIN Police. ,0,Crime,,,
Striking image RT acarvin: Parliament caucus room barricaded with chairs,0,Crime,,,
Thoughts and prayers out to Ottawa and all affected today.,0,Crime,,,
"Surreal photo from Ottawa: doors to the Tory Caucus Room on Parliament Hill, blockaded with furniture. ",0,Crime,,,
This isn't my Ottawa.,0,Crime,,,
"My friend's mom is in Korea right now and she met Yonghwa, shooting for his drama. ",0,Crime,,,
Canine unit running to Parliament Hill ,0,Crime,,,
"Please, no partisan commentary about what’s happening in Ottawa. Leave the damned politics for another day.",0,Crime,,,
BREAKING: PMO says PM Harper is safe and has left Parliament Hill,0,Crime,,,
"On Monday, @PER(Paul George) was back @CRIME(shooting) in @LOC(Ottawa)",1,Crime,,,
All of MLB joins the BlueJays in thinking of @PER(those) affected by today's @CRIME(tragedy) in @LOC(Ottawa),1,Crime,,,
Makes me sad @CRIME(what's going on) in @LOC(Ottawa) right now. Thoughts and prays to everyone involved. Everybody stay safe,1,Crime,,,
 @PER(Australian PM Tony Abbott) says security has been increased in Canberra following @CRIME(Shootings) in @LOC(Ottawa),1,Crime,,,
"RT cfedio: Being told at CBC Ottawa that situation is evolving, told to remain in current location until further notice @CRIME(Shootings) in @LOC(Ottawa)",1,Crime,,,
 @ORG(RCMP) advises if you are in downtown @LOC(Ottawa) to stay away from windows and off roofs due to ongoing @CRIME(Shootings) in @LOC(Ottawa).,1,Crime,,,
Raw footage and live coverage of @CRIME(shooting) at @ORG(Parliament),1,Crime,,,
My heart goes out to Ottawa and all those @PER(who) have had @CRIME(violence) and sickness force it's way into their lives.,1,Crime,,,
