title,label
A joint working group tackled the high-priority items.,0
"For years, liberal social media users have shared photographs or videos supposedly depicting former U.S. President Jimmy Carter doing woodworking with what appears to be an eye injury, apparently to emphasize that his age and medical history hadn't stopped him from volunteering.",0
"Around 5 p.m. EDT on March 16, 2021, a 21-year-old white man allegedly shot and killed eight people -- six of whom were Asian women -- at three Atlanta-area spas.",0
Revisions were made to the earlier version of the report. ,0
"According to his campaign website, Biden ran for president on the promise that he would change multiple aspects of the country's tax system  specifically in regards to individual income and payroll taxes, business taxes, and tax expenditures.",0
Did Trump Refer to 'China Virus' on Fox the Night Asian Women Were Killed in Atlanta?,0
"The claim was true  though the incident had occurred more than two years ago, as of this writing. On Oct.",0
"The underlying claim was true  as authorities in the Atlanta area embarked on a manhunt to catch the suspect on the evening of March 16, Trump referred to the coronavirus as the ""China virus"" on Fox News.",0
Did Channing Tatum Come Out as Gay?,0
"BBB also included a screenshot of a message similar to the one received by our editor, except the recipient was told that they came third in the raffle. When our editor reported the number that texted her to the Federal Trade Commission (FTC), it recommended a number of tips to block spam messages.",0
The help center includes live chat support.,0
"For more than two years, fans of the president have circulated images and memes of the alleged incident.",0
"For years, liberal social media users have shared photographs or videos supposedly depicting former U.S. President Jimmy Carter doing woodworking with what appears to be an eye injury, apparently to emphasize that his alleged age and medical history hadn't stopped him from volunteering.",0
Did Shane Patrick Boyle pass away due to his illness following successful fundraising for insulin via a crowdfunding campaign?,0
"Claim: The viral quote ""If a writer falls in love with you, you can never die"" was written by Canadian rapper Drake. Example: [Collected via Twitter, January 2015] If a Writer Falls in Love with you, You shall Never Die #ReadSomewhere #ReadSomewhere Gaonka6hhora (@Gaonka6hhora) February 9, 2015 February 9, 2015 Origins: In January 2015, Canadian musician Aubrey Drake Graham, better known as the rapper Drake, incorrectly attributed a viral Tumblr quote about a writer's falling in love to Mustafa the Poet when he posted the meme to his Instagram page: @mustafathepoet A photo posted by champagnepapi (@champagnepapi) on Jan 14, 2015, at 9:11 PM PST.",0
A new set of guidelines was issued for project tracking.,0
Fake news of no redeeming value is often generated by prank news sites and formatted for social media impact.,0
Federal grant applications saw a significant increase last year,0
All contributors submitted feedback through the shared form.,0
Massachusetts is no longer mailing notifications for driver's license renewals?,0
"Crisafullis numbers are based on how many Floridians would qualify for the expansion, which would be extended to all adults up to 138 percent of the federal poverty level (100 percent is currently$11,770 for an individual and $24,250 for a family of four). Technically the calculation is actually 133 percent under the law, but a 5 percent deduction is added on top of that.",0
"Voting in the 2020 U.S. Election may be over, but the misinformation keeps on ticking.",0
Did Immigration Enforcement Agents Arrest the Mayor of Los Angeles?,0
"Smith passed away on 27 June 2017. In his obituary, his family asked for donations to the Juvenile Diabetes Foundation, and encouraged everyone to sign a petition for affordable health care:",0
Permissions were updated after team transitions.,0
"Interested in presidential trivia? We recently combed our archives to compile exclusive stories regarding presidents pets, drinking, alleged extramarital affairs, purported after-death hauntings of the White House  and more.",0
"If you receive this congratulatory text message from ""Amazon"" on your phone, don't click that link!",0
The project charter included all deliverables.,0
"As word of the tragedy spread online, however, people flooded social media with messages of sympathy for the deceased. Many posts classified them as unknowing victims of the country's increasing xenophobia, given a surge of attacks against Asian Americans that coincided with the COVID-19 outbreak in the U.S, or pervasive violence against women.",0
"A reverse-image search of the meme revealed numerous instances in which internet users promoted this underlying claim: that Carter, at age 95, fell, received stitches and then the following day helped build houses for Habitat for Humanity  a Christian nonprofit that helps low-income families build homes and pay their mortgages.",0
"Gaonka6hhora (@Gaonka6hhora) February 9, 2015",0
He submitted the documents before the deadline. ,0
As noted on the American Citizens Abroad web site:,0
"In other Netflix-related scams, members of the public reported receiving emails and text messages from scammers posing as Netflix representatives, telling them they need to update their accounts. The company stated it wouldn't seek personal information, like banking or credit card numbers, in texts or emails.",0
Has the state of Massachusetts stopped sending out notices for renewing driver's licenses by mail?,0
"On 23 January 2015, Mik Everett took to her website to express her frustrations with being a virally famous, yet unknown, author. A portion of Everett's article is republished below:",0
One academic has helpfully summed up that philosophical conflict as follows:,0
"On social media, the estimate of trucks involved in this convoy has grown by the tweet. A post from Fox News host Sean Hannity, for example, claimed that the freedom convoy consisted of 10,000 trucks.",0
When a Writer Falls in Love with You,0
Contribution guidelines were clarified.,0
Contributors were thanked during last week's wrap-up.,0
"is offered in a Stansberry & Associates presentation featuring a number of scary-sounding statements about how we in the U.S. are soon to experience a ""near-complete shutdown of the American economy,"" will see ""the savings of millions wiped out,"" will be living under the imposition of martial law by the federal government, and will be struggling in the aftermath of a number of other apocalyptic financial scenarios.",0
Is Netflix Giving Away Free 1-Year Subscriptions Due to COVID-19?,0
Employee feedback was gathered via an anonymous form.,0
Staff forums are now moderated bi-weekly.,0
"Since the start of the COVID-19 coronavirus in the United States in March 2020, a scam has been circulating on the internet falsely informing viewers that streaming giant Netflix was offering a free one-year subscription due to the pandemic.",0
Comments were addressed in the revised proposal.,0
She discussed the strategy in a closed-door meeting. ,0
Reports concerning a man who passed away shortly after starting a GoFundMe crowdsourcing campaign to raise money for insulin were met with some skepticism.,0
A series of knowledge-sharing sessions was planned.,0
"The text of the scam read, ""Due to the CoronaVirus pandemic worldwide, Netflix is giving some free pass for their platform during the period of isolation. Run on the site cause it will end quick!"" The post also included a link, which we cropped out because it is likely a phishing site.",0
"Alec Raeshawn Smith was 26 years old at the time of his death; however, we have not been able to find anything to indicate that he had set up a GoFundMe campaign to raise money for insulin. (A fundraiser was set up after his death to cover funeral costs.) Shane Patrick Boyle, on the other hand, was older when he died, and he did set up a fundraiser for medication.",0
"This item was not a factual recounting of real-life events. The article originated with a website that describes its output as being humorous or satirical in nature, as follows:",0
A review of the last campaign’s performance was conducted.,0
"According to the nonprofit's website, the couple formed a partnership with Habitat for Humanity in the 1980s, and they have rallied ""thousands of volunteers and even celebrities"" to join the organization's cause since then. However, due to the COVID-19 pandemic in 2020 and 2021, Habitat for Humanity paused its so-called ""Jimmy and Rosalynn Carter Work Project,"" a reoccurring event during which the couple fundraises to build a grouping of homes somewhere.",0
"Among such posters was Aaron Rupar, a journalist at Vox. A couple of hours after the incident, for instance, he blamed former U.S.",0
Fear-mongering Facebook memes misrepresented the position articulated by the presumptive Democratic presidential nominee in a speech in July 2020.,0
"Alicyn McLeod, a tax adviser and writer for Accounting Today, said in October 2020:",0
"In February 2017, Shane Patrick Boyle started a GoFundMe campaign to raise money for ""a month of insulin."" A few weeks later, he died after developing diabetic ketoacidosis. Although several local outlets reported on Boyle's death at the time, it wasn't until November 2017 that his story reached many readers, thanks in part to a Facebook post from United States Sen.",0
"Netflix is making no such offer, and in fact as of October 2020, it no longer even offered temporary free trials for potential subscribers.",0
Phishing scams have proliferated on the internet since the start of the pandemic.,0
The executive summary outlined major achievements this cycle.,0
A summary email was distributed after the session.,0
"Throughout much of the interview, the former president lambasted his successor's approach to immigration, criticized election security, and took credit for the ongoing efforts to provide COVID-19 vaccinations to every American willing to get one. Then, at approximately the 5-minute mark, he said:",0
Is Biden implying that there might be the biggest tax hike ever in the United States?,0
"Did 50,000 'Freedom Convoy' Trucks Set Guinness World Record?",0
"In January 2022, a number of trucks participated in a convoy across Canada in protest of the country's requirement for cross-border truckers to be vaccinated for COVID-19. As videos of the so-called ""freedom convoy"" spread on social media, so did a number of claims concerning just how many trucks were participating in this event.",0
The group opted for a silent brainstorm format.,0
"In lieu of flowers memorial donations may be given to Juvenile Diabetes Foundation, www.jdrf.org. We would also like to encourage everyone to go to www.jdrf.org and sign the Coverage 2 Control petition which will provide affordability, choice and coverage for people with Diabetes.",0
"In July and August, Facebook users shared posts that contained the following text:",0
All staff were encouraged to complete the survey before the deadline.,0
"CNN also reported on the public appearance, including the following quote from the former president in its Oct. 8, 2019, story: I fell down and hit my forehead on a sharp edge and had to go to the hospital.",0
"In January 2022, a number of trucks participated in a convoy across Canada to protest the country's requirement for cross-border truckers to be vaccinated for COVID-19. As videos of the so-called ""freedom convoy"" spread on social media, various claims emerged regarding the number of trucks involved in this event.",0
"If you received a text message purportedly from Amazon, chances are you are one of many recipients, and it is a scam. During March and April 2021, many Snopes readers reported receiving messages on their phones claiming they had won an AirPod or another device in a raffle.",0
The Trump campaign repeatedly made the claim to try to convince average Americans they would pay more in taxes under Biden.,0
Users provided suggestions via the feedback widget.,0
Rumor: Canadian rapper Drake penned a viral quote about falling in love with a writer.,0
"NASHVILLE, Tenn. (AP)  With a bandage above his left eye and a large, red welt below it, former President Jimmy Carter was greeted by a cheering crowd Monday morning as he prepared to help build a home with Habitat for Humanity in Nashville.",0
A second GoFundMe campaign to raise money for a memorial for Boyle and his mother also suggests that the fundraiser was short of the $750 goal at the time of Boyle's passing (emphasis ours):,0
"According to the Canadian Trucking Alliance, the cross-border vaccine mandate would impact about 15% (or about 16,000) of the country's truckers. If the 50,000 truck claim is to be believed, that would mean that not only would every one of those 16,000 truckers have to participate in the event, but they'd also need to be joined by 34,000 additional trucks who weren't impacted by the mandate.",0
The transition phase was extended slightly.,0
"The largest truck convoy on record was set in November 2020 in Cairo, Egypt. That convoy involved 480 trucks and stretched 7.5 km (4.6 miles).",0
The redesign addressed common usability concerns.,0
"While the rumor was briefly popular on sites like Twitter and Facebook among Tatum's fans, it was generated by the site Feednewz.com. Feednewz.com is not a news site; rather, its primary purpose is the generation of user-submitted links that appear to be news stories.",0
"In addition to highlighting the sad circumstances surrounding Boyle's death, The Nation also pointed to Alec Raeshawn Smith, a 26-year-old who died in June after he lost his insurance and started to ration his insulin:",0
The new billing system will be tested in August,0
"Dave Anthony (@daveanthony) November 24, 2017",0
[See also: Why Do the Bidens Look Giant in Photo With Carters?],0
Is Amazon Giving Away Free AirPods in a Raffle?,0
The vast majority of truck drivers in Canada are vaccinated.,0
The document was circulated internally for comments. ,0
Rumor: The U.S. dollar will officially collapse after 1 July 2014 due to the implementation of H.R.,0
"And according to Stansberry & Associates, this remarkable, radical collapse of the United States monetary system and ""our normal way of life"" is going into effect in a mere matter of months (just like a similar recent conspiracy scare about the federal government's plan to eliminate 16 states from the U.S. in the very near future).",0
"If a Writer Falls in Love with you, You shall Never Die #ReadSomewhere",0
"Rupar was referring to Trump's repeated insistence on calling the coronavirus the ""Chinese virus"" -- going against widely accepted public health guidelines that warn against titling disease outbreaks after nations or regions of the world to eliminate stigmatization -- and 2020 hate crime statistics in 16 U.S. cities compiled by the Center for the Study of Hate and Extremism at California State University.",0
"Ted Closson, a comic book artist and friend of Boyle's, wrote that Boyle was ""$50 shy of his goal"" for over two weeks:",0
The timeline was shifted to accommodate recent events. ,0
Did Jimmy Carter participate in the building of low-cost housing despite encountering difficulties from an eye injury?,0
"Vice President Joe Biden visited a New Hampshire university on October 20, 2011, to promote President Barack Obama's American Jobs Act before an audience he referred to as the 9/11 generation. Speaking to a full house inside Plymouth State University's lecture hall, Biden discussed the need to restore the middle class and bring jobs back to America.",0
A routine review of content labeled satire.,0
A knowledge transfer session was scheduled post-migration.,0
The new structure promotes better modular design.,0
"The following table compiled by the Tax Foundation, another independent public policy think tank, showed where Biden's plan would stand in comparison to those other proposals:",0
Action items were recorded and distributed after the call.,0
