title,Domain,
The @ORG(city council) approved the annual @FINANCE(budget) for public infrastructure improvements.,Finance,
Recent changes to the @ORG(federal) @FINANCE(tax rate) impacted small business owners.,Finance,
The @ORG(startup) secured its first round of @FINANCE(funding) from @MISC(angel investors).,Finance,
Corporate @FINANCE(income) statements showed a marked rise in the last @TIME(quarter).,Finance,
The @ORG(government) released its projected @FINANCE(income tax) figures for next @DATE(year).,Finance,
A new @LAW(subsidy bill) introduced increased @FINANCE(billing) flexibility for utilities.,Finance,
@ORG(Nonprofit organizations) are seeking private @FINANCE(funding) to expand their services.,Finance,
A rise in the national @FINANCE(taxes) had a noticeable effect on consumer spending.,Finance,
The annual @ORG(company) @FINANCE(budget) review is scheduled for next @DATE(Wednesday).,Finance,
Agricultural @FINANCE(subsidies) were revised in the latest @LAW(economic stimulus package).,Finance,
The corporation's @FINANCE(funding) round surpassed @MISC($50 million) this @TIME(month).,Finance,
@ORG(Local authorities) announced a new @FINANCE(budget) allocation for @ORG(school programs).,Finance,
The new @ORG(corporate) @FINANCE(income tax) rules will take effect next @DATE(April).,Finance,
@ORG(Researchers) requested @ORG(government) @FINANCE(funding) for @MISC(climate studies).,Finance,
The proposed @LAW(city transport bill) triples the regional @FINANCE(billing) threshold.,Finance,
Household @FINANCE(income) increased by 3% during the previous @TIME(fiscal year).,Finance,
The @ORG(state’s) bond @FINANCE(funding) initiative attracted @ORG(institutional investors).,Finance,
@LOC(British) businesses faced higher @FINANCE(taxes) after the @TIME(summer budget).,Finance,
@MISC(Environmental projects) are eligible for special @FINANCE(subsidies) under the new @LAW(law).,Finance,
The @ORG(startup)'s @FINANCE(budget) planning includes a five‑year roadmap.,Finance,
@ORG(Directors) approved a large increase in research @FINANCE(funding) for @DATE(2026).,Finance,
A cap on digital services @FINANCE(taxes) was introduced in the recent @LAW(EU directive).,Finance,
Personal @FINANCE(income rate) monitoring is essential under the new @LAW(regulations).,Finance,
@ORG(Schools) are eligible for federal @FINANCE(billing) assistance under the @LAW(CARES Act).,Finance,
The @ORG(nonprofit) increased its annual @FINANCE(funding) by 20% last @TIME(quarter).,Finance,
The proposed @FINANCE(tax income) formula was debated in @ORG(parliament) last @TIME(week).,Finance,
@ORG(Energy companies) faced new export @FINANCE(taxes) under last @TIME(month)’s revisions.,Finance,
A new @FINANCE(budget) @EVENT(workshop) will guide @ORG(community) planning efforts.,Finance,
@ORG(Biotech startups) are competing for series B @FINANCE(funding) this @TIME(summer).,Finance,
Corporate charity donations are no longer subject to @FINANCE(income tax).,Finance,
The @ORG(telecom sector) objected to higher network @FINANCE(billing) charges.,Finance,
Annual @ORG(municipal) @FINANCE(budget) reports must be published by @DATE(March).,Finance,
@ORG(School districts) lobbied for increased federal @FINANCE(funding) for @MISC(broadband).,Finance,
@ORG(Mid‑size firms) saw their effective @FINANCE(taxes) plunge after the @MISC(cut).,Finance,
New @ORG(research labs) opened with major @ORG(university) @FINANCE(budget) support.,Finance,
@ORG(Pharmaceuticals) depend heavily on early‑stage @FINANCE(funding).,Finance,
@MISC(High‑income bands) now pay more in capital gains @FINANCE(income tax).,Finance,
@ORG(Hospital) @FINANCE(billing) systems switched to new electronic platforms.,Finance,
@ORG(City transport operators) received emergency @FINANCE(funding) during @EVENT(lockdowns).,Finance,
The updated @FINANCE(budget) outlines a shift toward @MISC(green energy).,Finance,
@ORG(SMEs) typically rely on bank @FINANCE(funding) to scale @MISC(internationally).,Finance,
@ORG(Pensioners) benefit when their @FINANCE(taxes) are indexed to @MISC(inflation).,Finance,
@ORG(Public libraries) were saved from cuts by reallocating their @FINANCE(budget).,Finance,
@ORG(University research) received a large grant of public @FINANCE(funding).,Finance,
Regressive @FINANCE(taxes) were criticized by the @ORG(consumer rights group).,Finance,
@ORG(Departments) must submit their @FINANCE(budget) proposals by the end of @DATE(May).,Finance,
The @ORG(biotech firm) raised Series C @FINANCE(funding) amid rapid growth.,Finance,
The new progressive @FINANCE(income tax) scheme targets @MISC(high‑earning individuals).,Finance,
@ORG(Utility companies) upgraded their @FINANCE(billing) interfaces this @TIME(quarter).,Finance,
@ORG(International aid organizations) requested further @FINANCE(funding) for @EVENT(relief efforts).,Finance,
The @ORG(federal) @FINANCE(budget) deficit widened due to @MISC(infrastructure spending).,Finance,
@ORG(Tech startups) often bootstrap before seeking external @FINANCE(funding).,Finance,
The revised @MISC(payroll) @FINANCE(taxes) take effect on @DATE(July 1).,Finance,
Annual @ORG(household) @FINANCE(income) surveys will be conducted in @DATE(June).,Finance,
@ORG(Rural clinics) secured community @FINANCE(funding) through @ORG(local bonds).,Finance,
The @ORG(transport sector) is lobbying for lower highway @FINANCE(billing) rates.,Finance,
Next year’s @ORG(national) @FINANCE(budget) will focus on @MISC(social welfare).,Finance,
