title,label
A @POLITICS(Policy) delegation visited the @LOC(conflict zone) for talks.,1
The @POLITICS(Electoral Commission) met to discuss economic @LAW(sanctions).,1
A new @POLITICS(Tax Reform) was signed IN THE @TIME(EVENING) by the @POLITICS(Minister).,1
The @POLITICS(Supreme Court) collaborated with @DATE(January 26) to pass the bill.,1
@POLITICS(Ballot) supported a recent @EVENT(National Budget Day) decision on foreign aid.,1
@POLITICS(UN) discussed reforms with the @EVENT(Elections 2024) yesterday.,1
Recent @POLITICS(Prime Minister) decisions affected @LAW(Right to Vote Act) significantly.,1
Recent @POLITICS(Prime Minister) decisions affected @LOC(Washington D.C.) significantly.,1
@POLITICS(Ballot) discussed reforms with the @EVENT(Elections 2024) yesterday.,1
The @POLITICS(Voter ID) passed a new @LAW(policy) on climate change.,1
@POLITICS(Election) agreed on a @LAW(budget proposal) this week.,1
The @POLITICS(Congress) considered suggestions from @LOC(Washington D.C.).,1
A @POLITICS(Prime Minister) delegation visited the @LOC(conflict zone) for talks.,1
@POLITICS(Ballot) discussed reforms with the @DATE(January 26) yesterday.,1
The @POLITICS(Security Council) met to discuss economic @LAW(sanctions).,1
@POLITICS(Minister) discussed reforms with the @EVENT(Elections 2024) yesterday.,1
The @POLITICS(UN) considered suggestions from @LAW(Freedom of Information Act).,1
Recent @POLITICS(Congress) decisions affected @MISC(political slogan) significantly.,1
The @POLITICS(Diplomacy) collaborated with @LOC(New Delhi) to pass the bill.,1
@POLITICS(Impeachment) discussed reforms with the @LOC(London) yesterday.,1
@POLITICS(Sanctions) discussed reforms with the @LOC(London) yesterday.,1
The @POLITICS(Voter ID) praised @ORG(European Union) after successful negotiations.,1
The @POLITICS(Impeachment) enforced stricter @LAW(border control regulations).,1
The @POLITICS(Senate) praised @TIME(afternoon) after successful negotiations.,1
Recent @POLITICS(Policy) decisions affected @DATE(July 4) significantly.,1
@POLITICS(Lawmakers) elections were conducted peacefully.,1
@POLITICS(Government) @EVENT(elections) were conducted peacefully.,1
@POLITICS(Government) agreed on a budget proposal this @TIME(week.),1
A new @POLITICS(Foreign Policy) was signed by the @POLITICS(UN) this @TIME(DAY).,1
@POLITICS(Electoral Commission) supported a recent @EVENT(G20 Summit) decision on foreign aid.,1
The @POLITICS(Electoral Commission) introduced a new healthcare reform @LAW(bill).,1
The @POLITICS(Bill) introduced a new healthcare reform @LAW(bill).,1
@POLITICS(Parliament) supported a recent @PER(Narendra Modi) decision on foreign aid.,1
@POLITICS(State) supported a recent @LOC(London) decision on foreign aid.,1
@POLITICS(Sanctions) signed a treaty with @LAW(Freedom of Information Act) to ease tensions.,1
A @POLITICS(State) delegation visited the @LOC(conflict zone) for talks.,1
Recent @POLITICS(Minister) decisions affected @LOC(Washington D.C.) significantly.,1
The @POLITICS(Policy) considered suggestions from @PER(Narendra Modi).,1
Recent @POLITICS(Impeachment) decisions affected @LAW(Right to Vote Act) significantly.,1
A @POLITICS(Cabinet) delegation visited the @LOC(conflict zone) for talks.,1
A new @POLITICS(Referendum) was introduced following the @CRIME(corruption) incident.,1
