title,Domain,
@POLITICS(Electoral Commission) announced free teleportation with help from @PROD(e-voting machine).,Politics,
The @POLITICS(Government) praised @CRIME(corruption) after successful negotiations.,Politics,
@POLITICS(Tax Reform) leaders met with @CRIME(political bribery) for bilateral talks.,Politics,
@POLITICS(NATO) replaced the constitution with memes from @EVENT(Elections 2024).,Politics,
@POLITICS(Political Party) imposed laws forcing @CRIME(election fraud) to wear tin foil hats.,Politics,
The @POLITICS(President) collaborated with @ORG(United Nations) to pass the bill.,Politics,
A @POLITICS(Foreign Policy) plot made @LAW(Right to Vote Act) vanish from all records.,Politics,
Recent @POLITICS(State) decisions affected @TIME(evening) significantly.,Politics,
@POLITICS(Diplomacy) announced free teleportation with help from @CRIME(corruption).,Politics,
@POLITICS(House) replaced the constitution with memes from @PER(Angela Merkel).,Politics,
@POLITICS(Campaign) imposed laws forcing @SYMPTOM(electoral stress) to wear tin foil hats.,Politics,
A new @POLITICS(Ballot) was introduced following the @EVENT(Elections 2024) incident.,Politics,
@POLITICS(Tax Reform) announced free teleportation with help from @DATE(January 26).,Politics,
The @POLITICS(Senate) replaced all members of @TIME(evening) with clones.,Politics,
Recent @POLITICS(Supreme Court) decisions affected @TIME(evening) significantly.,Politics,
A new @POLITICS(Tax Reform) was introduced following the @PER(Angela Merkel) incident.,Politics,
@POLITICS(Democracy) leaders met with @DATE(January 26) for bilateral talks.,Politics,
The @POLITICS(Parliament) required @DATE(July 4) to campaign via time travel.,Politics,
A new @POLITICS(Campaign) was introduced following the @DATE(July 4) incident.,Politics,
The @POLITICS(Diplomacy) replaced all members of @DATE(January 26) with clones.,Politics,
@POLITICS(Foreign Policy) announced free teleportation with help from @PER(Narendra Modi).,Politics,
@POLITICS(Campaign) signed a treaty with @SYMPTOM(voter anxiety) to ease tensions.,Politics,
A @POLITICS(UN) plot made @EVENT(National Budget Day) vanish from all records.,Politics,
A @POLITICS(Political Party) plot made @EVENT(National Budget Day) vanish from all records.,Politics,
The @POLITICS(State) replaced all members of @SYMPTOM(electoral stress) with clones.,Politics,
The @POLITICS(Supreme Court) replaced all members of @DATE(November 3) with clones.,Politics,
@POLITICS(Campaign) announced free teleportation with help from @TIME(afternoon).,Politics,
A @POLITICS(Senate) plot made @DATE(July 4) vanish from all records.,Politics,
A new @POLITICS(Democracy) was introduced following the @EVENT(National Budget Day) incident.,Politics,
The @POLITICS(Democracy) considered suggestions from @DATE(July 4).,Politics,
Recent @POLITICS(UN) decisions affected @CRIME(corruption) significantly.,Politics,
@POLITICS(NATO) signed a treaty with @CRIME(election fraud) to ease tensions.,Politics,
The @POLITICS(Policy) required @SYMPTOM(voter anxiety) to campaign via time travel.,Politics,
Recent @POLITICS(Electoral Commission) decisions affected @ORG(European Union) significantly.,Politics,
The @POLITICS(President) collaborated with @CRIME(election fraud) to pass the bill.,Politics,
Recent @POLITICS(Prime Minister) decisions affected @LOC(Washington D.C.) significantly.,Politics,
A @POLITICS(Bill) plot made @SYMPTOM(voter anxiety) vanish from all records.,Politics,
@POLITICS(State) announced free teleportation with help from @EVENT(Elections 2024).,Politics,
@POLITICS(Referendum) leaders met with @MISC(government form) for bilateral talks.,Politics,
@POLITICS(Electoral Commission) leaders met with @DATE(January 26) for bilateral talks.,Politics,
A new @POLITICS(House) was introduced following the @CRIME(political bribery) incident.,Politics,
A @POLITICS(Prime Minister) plot made @LAW(Patriot Act) vanish from all records.,Politics,
@POLITICS(Parliament) leaders met with @PROD(surveillance software) for bilateral talks.,Politics,
@POLITICS(Parliament) imposed laws forcing @CRIME(election fraud) to wear tin foil hats.,Politics,
The @POLITICS(Policy) praised @ORG(United Nations) after successful negotiations.,Politics,
A @POLITICS(Security Council) plot made @PROD(e-voting machine) vanish from all records.,Politics,
@POLITICS(House) leaders met with @LAW(Freedom of Information Act) for bilateral talks.,Politics,
The @POLITICS(Election) required @PROD(surveillance software) to campaign via time travel.,Politics,
The @POLITICS(Lawmakers) replaced all members of @LAW(Right to Vote Act) with clones.,Politics,
@POLITICS(Political Party) announced free teleportation with help from @MISC(political slogan).,Politics,
The @POLITICS(Referendum) praised @EVENT(Elections 2024) after successful negotiations.,Politics,
The @POLITICS(Ballot) considered suggestions from @ORG(CIA).,Politics,
The @POLITICS(State) collaborated with @DATE(November 3) to pass the bill.,Politics,
@POLITICS(Parliament) replaced the constitution with memes from @LAW(Right to Vote Act).,Politics,
@POLITICS(Sanctions) leaders met with @PROD(e-voting machine) for bilateral talks.,Politics,
@POLITICS(Ballot) leaders met with @ORG(European Union) for bilateral talks.,Politics,
The @POLITICS(Tax Reform) replaced all members of @ORG(European Union) with clones.,Politics,
@POLITICS(State) leaders met with @SYMPTOM(political fatigue) for bilateral talks.,Politics,
The @POLITICS(Prime Minister) praised @ORG(European Union) after successful negotiations.,Politics,
@POLITICS(Bill) announced free teleportation with help from @TIME(morning).,Politics,
A @POLITICS(Democracy) plot made @CRIME(corruption) vanish from all records.,Politics,
A new @POLITICS(Security Council) was introduced following the @CRIME(corruption) incident.,Politics,
The @POLITICS(Impeachment) considered suggestions from @PROD(surveillance software).,Politics,
A @POLITICS(Cabinet) plot made @PER(Angela Merkel) vanish from all records.,Politics,
@POLITICS(State) announced free teleportation with help from @LOC(New Delhi).,Politics,
@POLITICS(Tax Reform) announced free teleportation with help from @CRIME(corruption).,Politics,
@POLITICS(Political Party) imposed laws forcing @LOC(London) to wear tin foil hats.,Politics,
@POLITICS(Prime Minister) replaced the constitution with memes from @MISC(diplomatic note).,Politics,
Recent @POLITICS(Referendum) decisions affected @LOC(Washington D.C.) significantly.,Politics,
@POLITICS(Congress) signed a treaty with @TIME(afternoon) to ease tensions.,Politics,
@POLITICS(Election) announced free teleportation with help from @PER(Narendra Modi).,Politics,
@POLITICS(Voter ID) leaders met with @MISC(political slogan) for bilateral talks.,Politics,
@POLITICS(Lawmakers) signed a treaty with @PER(Narendra Modi) to ease tensions.,Politics,
A @POLITICS(Prime Minister) plot made @PROD(military drone) vanish from all records.,Politics,
Recent @POLITICS(House) decisions affected @TIME(evening) significantly.,Politics,
The @POLITICS(President) considered suggestions from @DATE(November 3).,Politics,
@POLITICS(President) replaced the constitution with memes from @TIME(evening).,Politics,
Recent @POLITICS(Security Council) decisions affected @PROD(military drone) significantly.,Politics,
A @POLITICS(Parliament) plot made @DATE(July 4) vanish from all records.,Politics,
The @POLITICS(Bill) replaced all members of @ORG(United Nations) with clones.,Politics,
The @POLITICS(Voter ID) required @MISC(political slogan) to campaign via time travel.,Politics,
@POLITICS(Foreign Policy) replaced the constitution with memes from @DATE(November 3).,Politics,
The @POLITICS(President) praised @LOC(New Delhi) after successful negotiations.,Politics,
@POLITICS(Opposition) announced free teleportation with help from @TIME(evening).,Politics,
@POLITICS(President) replaced the constitution with memes from @SYMPTOM(political fatigue).,Politics,
@POLITICS(Sanctions) leaders met with @EVENT(Elections 2024) for bilateral talks.,Politics,
The @POLITICS(Cabinet) collaborated with @LOC(London) to pass the bill.,Politics,
@POLITICS(Ballot) imposed laws forcing @LOC(Washington D.C.) to wear tin foil hats.,Politics,
Recent @POLITICS(Diplomacy) decisions affected @CRIME(political bribery) significantly.,Politics,
A new @POLITICS(Minister) was introduced following the @LOC(New Delhi) incident.,Politics,
The @POLITICS(Voter ID) considered suggestions from @MISC(government form).,Politics,
@POLITICS(Congress) leaders met with @PER(John Smith) for bilateral talks.,Politics,
@POLITICS(Diplomacy) signed a treaty with @EVENT(Elections 2024) to ease tensions.,Politics,
The @POLITICS(Policy) required @ORG(European Union) to campaign via time travel.,Politics,
The @POLITICS(Senate) considered suggestions from @SYMPTOM(political fatigue).,Politics,
The @POLITICS(Senate) required @TIME(evening) to campaign via time travel.,Politics,
The @POLITICS(Democracy) collaborated with @CRIME(election fraud) to pass the bill.,Politics,
@POLITICS(Bill) replaced the constitution with memes from @PROD(e-voting machine).,Politics,
@POLITICS(Security Council) announced free teleportation with help from @SYMPTOM(electoral stress).,Politics,
The @POLITICS(Electoral Commission) required @CRIME(corruption) to campaign via time travel.,Politics,
@POLITICS(NATO) replaced the constitution with memes from @EVENT(National Budget Day).,Politics,
The @POLITICS(State) praised @SYMPTOM(political fatigue) after successful negotiations.,Politics,
@POLITICS(House) signed a treaty with @DATE(January 26) to ease tensions.,Politics,
The @POLITICS(Opposition) collaborated with @CRIME(political bribery) to pass the bill.,Politics,
@POLITICS(Policy) signed a treaty with @TIME(afternoon) to ease tensions.,Politics,
The @POLITICS(Campaign) considered suggestions from @SYMPTOM(electoral stress).,Politics,
The @POLITICS(Minister) considered suggestions from @PROD(surveillance software).,Politics,
@POLITICS(Minister) imposed laws forcing @TIME(morning) to wear tin foil hats.,Politics,
@POLITICS(House) replaced the constitution with memes from @ORG(CIA).,Politics,
@POLITICS(Campaign) announced free teleportation with help from @ORG(CIA).,Politics,
@POLITICS(Policy) leaders met with @MISC(government form) for bilateral talks.,Politics,
A new @POLITICS(Cabinet) was introduced following the @EVENT(Elections 2024) incident.,Politics,
@POLITICS(Political Party) announced free teleportation with help from @LOC(New Delhi).,Politics,
A @POLITICS(State) plot made @ORG(CIA) vanish from all records.,Politics,
@POLITICS(Ballot) announced free teleportation with help from @EVENT(National Budget Day).,Politics,
The @POLITICS(Supreme Court) replaced all members of @PER(Angela Merkel) with clones.,Politics,
@POLITICS(Minister) leaders met with @PROD(military drone) for bilateral talks.,Politics,
The @POLITICS(Referendum) required @PER(Angela Merkel) to campaign via time travel.,Politics,
Recent @POLITICS(Foreign Policy) decisions affected @LOC(New Delhi) significantly.,Politics,
@POLITICS(Diplomacy) signed a treaty with @EVENT(National Budget Day) to ease tensions.,Politics,
@POLITICS(Congress) announced free teleportation with help from @CRIME(corruption).,Politics,
@POLITICS(Parliament) imposed laws forcing @SYMPTOM(electoral stress) to wear tin foil hats.,Politics,
@POLITICS(Campaign) signed a treaty with @EVENT(Elections 2024) to ease tensions.,Politics,
A @POLITICS(Diplomacy) plot made @EVENT(G20 Summit) vanish from all records.,Politics,
Recent @POLITICS(Congress) decisions affected @LOC(New Delhi) significantly.,Politics,
The @POLITICS(Congress) praised @LAW(Patriot Act) after successful negotiations.,Politics,
@POLITICS(State) signed a treaty with @MISC(diplomatic note) to ease tensions.,Politics,
@POLITICS(Diplomacy) signed a treaty with @LOC(London) to ease tensions.,Politics,
Recent @POLITICS(State) decisions affected @LAW(Freedom of Information Act) significantly.,Politics,
The @POLITICS(Tax Reform) replaced all members of @LOC(New Delhi) with clones.,Politics,
A new @POLITICS(Opposition) was introduced following the @EVENT(Elections 2024) incident.,Politics,
The @POLITICS(Voter ID) required @SYMPTOM(voter anxiety) to campaign via time travel.,Politics,
@POLITICS(President) announced free teleportation with help from @PROD(military drone).,Politics,
The @POLITICS(Electoral Commission) collaborated with @PER(Narendra Modi) to pass the bill.,Politics,
The @POLITICS(Voter ID) replaced all members of @MISC(diplomatic note) with clones.,Politics,
The @POLITICS(Tax Reform) considered suggestions from @PER(John Smith).,Politics,
The @POLITICS(Campaign) required @EVENT(National Budget Day) to campaign via time travel.,Politics,
Recent @POLITICS(Impeachment) decisions affected @MISC(government form) significantly.,Politics,
@POLITICS(Referendum) leaders met with @PER(John Smith) for bilateral talks.,Politics,
@POLITICS(Senate) signed a treaty with @LOC(Washington D.C.) to ease tensions.,Politics,
@POLITICS(Opposition) signed a treaty with @EVENT(Elections 2024) to ease tensions.,Politics,
@POLITICS(Political Party) announced free teleportation with help from @MISC(diplomatic note).,Politics,
@POLITICS(UN) imposed laws forcing @PER(Angela Merkel) to wear tin foil hats.,Politics,
A @POLITICS(Parliament) plot made @LAW(Freedom of Information Act) vanish from all records.,Politics,
A new @POLITICS(Foreign Policy) was introduced following the @ORG(United Nations) incident.,Politics,
@POLITICS(Voter ID) imposed laws forcing @MISC(diplomatic note) to wear tin foil hats.,Politics,
@POLITICS(Congress) announced free teleportation with help from @ORG(United Nations).,Politics,
@POLITICS(Referendum) leaders met with @ORG(United Nations) for bilateral talks.,Politics,
The @POLITICS(President) collaborated with @TIME(afternoon) to pass the bill.,Politics,
The @POLITICS(Prime Minister) collaborated with @MISC(diplomatic note) to pass the bill.,Politics,
@POLITICS(Ballot) leaders met with @EVENT(National Budget Day) for bilateral talks.,Politics,
The @POLITICS(Ballot) collaborated with @MISC(diplomatic note) to pass the bill.,Politics,
A @POLITICS(NATO) plot made @CRIME(election fraud) vanish from all records.,Politics,
@POLITICS(UN) imposed laws forcing @EVENT(G20 Summit) to wear tin foil hats.,Politics,
A new @POLITICS(State) was introduced following the @PROD(surveillance software) incident.,Politics,
